Time,HR,Skin_Temp,GSR,AirTemp,Movement,HR_stdv,GSR_stdv,unkown_stdv
2020-11-10 15:47:59,81.2,91.08333333333333,1.1385611059172182e-07,5792899.75,233,1.5790292376436015,3.896425774251821e-08,4127579.8444738397
2020-11-10 15:48:59,80.63333333333334,91,1.3289492636506868e-07,6775435.75,409,2.4897567931203417,3.598408304544942e-08,5130693.971467572
2020-11-10 15:49:59,80,91,1.1353258640671924e-07,3564172,137,3.2155283611732357,3.6425506470124256e-08,4175676.367239624
2020-11-10 15:50:59,74.05454545454545,91,1.2922605656554798e-07,4682392.25,188,2.9751588609574924,3.4780469082923445e-08,3949166.033310221
2020-11-10 15:52:59,78.04,90.41666666666667,1.2452985317801124e-07,6563756,134,5.176717106429518,4.011814328688465e-08,4898297.286598732
2020-11-10 15:53:59,86.21428571428571,90,1.248941491122969e-07,7496576,366,2.5961116921980354,3.8498557660645154e-08,6068345.733861618
2020-11-10 15:54:59,83.89090909090909,90,1.1505400453102165e-07,4336312.25,219,7.146957972764553,3.276243271366146e-08,3872326.2622486614
2020-11-10 15:55:59,71.78333333333333,90,1.2630723833111117e-07,5250692,188,2.3741080196336664,2.9952314145563985e-08,3776161.0391863585
2020-11-10 15:56:59,76.83333333333333,90,1.2234177205222272e-07,6369412.25,212,2.5374965790891006,3.3640068628499344e-08,4662254.11339694
2020-11-10 15:57:59,79,89.91666666666667,1.343825834169631e-07,7249316,167,0.0,2.0955383179193854e-08,5747234.062884598
2020-11-10 15:58:59,73,90,1.1047435598783479e-07,4464536.25,502,1.0690449676496976,3.943206352594354e-08,4588167.617898641
2020-11-10 15:59:59,73.6,90,1.1825724185612567e-07,5151400.25,117,3.5080858978460983,3.680825427323186e-08,3935405.196915521
2020-11-10 16:00:59,77.58333333333333,90,1.2425922872334767e-07,6038408.5,238,2.6601482832520613,3.867760930279257e-08,4347128.440126568
2020-11-10 16:01:59,73.4,90,1.2904486318932442e-07,7752880.5,497,11.2,6.853176470392034e-08,6104737.793804846
2020-11-10 16:02:59,65,90,1.2739835772074323e-07,3728292.75,265,1.8090680674665818,4.0533160450526615e-08,4003831.5718486696
2020-11-10 16:03:59,77.53333333333333,90,1.1757478978349635e-07,4647568.75,439,2.124983660067897,3.455296902402768e-08,3558461.203839967
2020-11-10 16:04:59,75.9,90,1.1648207014470244e-07,6545064.5,275,3.150132272355136,5.627438788755983e-08,5096590.432407018
2020-11-10 16:05:59,76.86666666666666,90,1.2579332050777986e-07,7691920.5,350,3.4422215049134897,5.350448715649773e-08,5917782.119203676
2020-11-10 16:08:59,78.13333333333334,89.75,1.2250409950279347e-07,6379961,137,3.148897514298545,4.2445769686906164e-08,5223572.325211885
2020-11-10 16:09:59,73.72727272727273,90,1.2078920052527872e-07,7104685.25,104,3.6949820787093772,3.344627196803494e-08,5459404.044616334
2020-11-10 16:11:59,77.32203389830508,90,1.2136013374591093e-07,4187517.5,244,3.793127943013687,2.6226204010218597e-08,3716755.841209273
2020-11-10 16:12:59,76.1304347826087,90,1.1458531228158897e-07,5753981.5,299,1.2956229935435948,4.354484844130615e-08,4603746.109106719
2020-11-10 16:13:59,75.98245614035088,90.58333333333333,1.2180947217924522e-07,6774917.25,35,2.2825903111986796,3.830332877417142e-08,5068928.401424722
2020-11-10 16:14:59,72.73584905660377,91,1.1551932494866642e-07,7153029.5,352,1.6500536686094676,3.362600257835371e-08,5617408.223035535
2020-11-10 16:15:59,75.61666666666666,91,9.262798383977172e-08,4040333.75,425,3.9373919738267813,3.1444940775198765e-08,4041828.262213424
2020-11-10 16:16:59,81.44117647058823,91,8.13954981361454e-08,5899417.5,643,7.084328921145303,3.1057411121074506e-08,5238273.613738237
2020-11-10 16:17:59,71.40816326530613,91.75,8.119803072470602e-08,5842845.75,68,1.2108079162605163,5.4317976399382364e-08,4178124.89931682
2020-11-10 16:18:59,73.7,92,1.1496386637562597e-07,6891649.75,537,2.4378952670968728,7.973003917918835e-08,5281050.310665596
